id|Sport|EventPCount
1|Athletics|Athletics Men''s 1,500 metres Walk|2
2|Swimming|Swimming Men''s 220 yard Freestyle|2
3|Swimming|Swimming Men''s 440 yard Freestyle|2
4|Swimming|Swimming Men''s 4 x 50 Yard Freestyle Relay|2
5|Canoeing|Canoeing Men''s Folding Kayak Singles, 10 kilometres|2
6|Cross Country Skiing|Cross Country Skiing Men''s 10/10 kilometres Pursuit|6
7|Athletics|Athletics Men''s Standing Triple Jump|6
8|Art Competitions|Art Competitions Mixed Literature|2
9|Athletics|Athletics Men''s All-Around Championship|2
10|Shooting|Shooting Men''s Running Target, 50 metres|6
11|Art Competitions|Art Competitions Mixed Architecture, Architectural Designs|2
12|Gymnastics|Gymnastics Men''s Rope Climbing|4
13|Diving|Diving Men''s Plain High|2
14|Sailing|Sailing Mixed Windsurfer|4
15|Freestyle Skiing|Freestyle Skiing Men''s Slopestyle|6
16|Table Tennis|Table Tennis Women''s Singles|14
17|Wrestling|Wrestling Men''s Middleweight A, Greco-Roman|2
18|Snowboarding|Snowboarding Women''s Parallel Slalom|6
19|Lacrosse|Lacrosse Men''s Lacrosse|4
20|Freestyle Skiing|Freestyle Skiing Women''s Slopestyle|6
21|Snowboarding|Snowboarding Men''s Slopestyle|4
22|Athletics|Athletics Men''s Pentathlon (Ancient)|4
23|Nordic Combined|Nordic Combined Men''s Sprint|12
24|Sailing|Sailing Mixed 6.5 metres|2
25|Athletics|Athletics Men''s 2,590 metres Steeplechase|6
26|Shooting|Shooting Men''s Trap, Team|4
27|Short Track Speed Skating|Short Track Speed Skating Men''s 1,500 metres|18
28|Freestyle Skiing|Freestyle Skiing Women''s Halfpipe|6
29|Athletics|Athletics Men''s 2,500 metres Steeplechase|2
30|Trampolining|Trampolining Women''s Individual|18
31|Golf|Golf Women''s Individual|2
32|Cycling|Cycling Women''s Keirin|10
33|Athletics|Athletics Women''s 10 kilometres Walk|6
34|Shooting|Shooting Men''s Running Target, 10 metres|14
35|Canoeing|Canoeing Men''s Kayak Singles, 200 metres|14
36|Snowboarding|Snowboarding Men''s Giant Slalom|6
37|Athletics|Athletics Men''s 3,000 metres Walk|8
38|Biathlon|Biathlon Women''s 3 x 7.5 kilometres Relay|18
39|Shooting|Shooting Women''s Double Trap|16
40|Shooting|Shooting Women''s Skeet|26
41|Athletics|Athletics Men''s Cross-Country, Individual|18
42|Athletics|Athletics Men''s Shot Put, Both Hands|6
43|Tennis|Tennis Men''s Singles|54
44|Canoeing|Canoeing Men''s Canadian Singles, 10,000 metres|8
45|Snowboarding|Snowboarding Women''s Giant Slalom|6
46|Snowboarding|Snowboarding Women''s Slopestyle|6
47|Athletics|Athletics Men''s 3,200 metres Steeplechase|4
48|Athletics|Athletics Men''s 56-pound Weight Throw|12
49|Cross Country Skiing|Cross Country Skiing Men''s 18 kilometres|12
50|Athletics|Athletics Women''s Triple Jump|36
51|Taekwondo|Taekwondo Men''s Flyweight|34
52|Sailing|Sailing Women''s Skiff|12
53|Cycling|Cycling Men''s 5,000 metres|2
54|Freestyle Skiing|Freestyle Skiing Men''s Ski Cross|12
55|Gymnastics|Gymnastics Men''s Parallel Bars, Teams|2
56|Wrestling|Wrestling Men''s Unlimited Class, Greco-Roman|2
57|Gymnastics|Gymnastics Men''s Horizontal Bar, Teams|2
58|Cycling|Cycling Men''s Mountainbike, Cross-Country|36
59|Cross Country Skiing|Cross Country Skiing Women''s 5/5 kilometres Pursuit|6
60|Cross Country Skiing|Cross Country Skiing Women''s Team Sprint|34
61|Shooting|Shooting Women''s Air Pistol, 10 metres|40
62|Sailing|Sailing Women''s Windsurfer|34
63|Athletics|Athletics Men''s Stone Throw|6
64|Athletics|Athletics Men''s Discus Throw, Greek Style|10
65|Short Track Speed Skating|Short Track Speed Skating Women''s 1,000 metres|20
66|Short Track Speed Skating|Short Track Speed Skating Women''s 1,500 metres|18
67|Cross Country Skiing|Cross Country Skiing Women''s Sprint|20
68|Athletics|Athletics Men''s Javelin Throw, Both Hands|6
69|Gymnastics|Gymnastics Men''s Team All-Around, Swedish System|2
70|Equestrianism|Equestrianism Men''s Dressage, Team|2
71|Sailing|Sailing Mixed 6 metres|6
72|Cross Country Skiing|Cross Country Skiing Women''s 15 km Skiathlon|16
73|Athletics|Athletics Men''s Javelin Throw, Freestyle|12
74|Nordic Combined|Nordic Combined Men''s Large Hill / 10 km, Individual|10
75|Shooting|Shooting Women''s Trap|28
76|Weightlifting|Weightlifting Men''s Unlimited, One Hand|8
77|Weightlifting|Weightlifting Men''s Unlimited, Two Hands|10
78|Golf|Golf Men''s Individual|4
79|Cross Country Skiing|Cross Country Skiing Women''s 3 x 5 kilometres Relay|72
80|Athletics|Athletics Women''s Pole Vault|30
81|Canoeing|Canoeing Men''s Canadian Singles, 200 metres|12
82|Biathlon|Biathlon Men''s 12.5 kilometres Pursuit|22
83|Cross Country Skiing|Cross Country Skiing Men''s 30 km Skiathlon|18
84|Weightlifting|Weightlifting Women''s Lightweight|24
85|Fencing|Fencing Women''s epee, Individual|32
86|Equestrianism|Equestrianism Men''s Jumping, Team|8
87|Athletics|Athletics Men''s Discus Throw, Both Hands|6
88|Sailing|Sailing Mixed Two Person Dinghy|36
89|Taekwondo|Taekwondo Men''s Welterweight|34
90|Canoeing|Canoeing Men''s Canadian Singles, Slalom|48
91|Taekwondo|Taekwondo Women''s Welterweight|34
92|Judo|Judo Women''s Lightweight|50
93|Swimming|Swimming Men''s One Mile Freestyle|2
94|Athletics|Athletics Men''s 1,600 metres Medley Relay|18
95|Boxing|Boxing Women''s Lightweight|14
96|Taekwondo|Taekwondo Men''s Featherweight|36
97|Shooting|Shooting Men''s Skeet|34
98|Athletics|Athletics Men''s 60 metres|10
99|Athletics|Athletics Men''s 200 metres Hurdles|6
100|Athletics|Athletics Women''s Heptathlon|54
101|Equestrianism|Equestrianism Men''s Jumping, Individual|6
102|Freestyle Skiing|Freestyle Skiing Women''s Ski Cross|12
