id|Name|Sex|Age|Height|Weight|Team
1|Juhamatti Tapio Aaltonen|M|28|184|85|Finland
2|Paavo Johannes Aaltonen|M|32|175|64|Finland
3|Kjetil Andr Aamodt|M|34|176|85|Norway
4|Pepijn Aardewijn|M|26|189|72|Netherlands
5|Ann Kristin Aarnes|F|23|182|64|Norway
6|Giovanni Abagnale|M|21|198|90|Italy
7|Jos Luis Abajo Gmez|M|30|194|87|Spain
8|Patimat Abakarova|F|21|165|49|Azerbaijan
9|Mariya Vasilyevna Abakumova (-Tarabina)|F|22|179|80|Russia
10|Aleksey Aleksandrovich Abalmasov|M|28|180|83|Belarus
11|Luc Abalo|M|31|182|86|France
12|Jouan Patrice Abanda Etong|M|22|185|82|Cameroon
13|Jos Mara Abarca Plotas|M|22|186|83|Spain
14|Stephen Anthony Abas|M|26|165|55|United States
15|Alejandro Abascal Garca|M|28|181|82|Spain
16|Jos Manuel Abascal Gmez|M|26|182|67|Spain
17|Tamila Rashidovna Abasova|F|21|163|60|Russia
18|Jol Marc Abati|M|38|190|85|France
19|Pter Abay|M|30|181|79|Hungary
20|Agostino Abbagnale|M|34|188|96|Italy
21|Carmine Abbagnale|M|30|182|90|Italy
22|Giuseppe Abbagnale|M|33|187|97|Italy
23|Desmond "Des" Abbott|M|21|184|87|Australia
24|Jeremy Abbott|M|28|175|70|United States
25|Monica Cecilia Abbott|F|23|191|88|United States
26|Nia Nicole Abdallah|F|20|175|56|United States
27|Saeid Morad Abdevali|M|26|170|80|Iran
28|Reema Abdo|F|21|173|59|Canada
29|Lala Abdul Rashid|M|38|169|91|Pakistan
30|Muhammad Abdul Rashid|M|23|181|72|Pakistan
31|Zagalav Abdulbekovich Abdulbekov|M|26|160|62|Soviet Union
32|Mukhammad Kadyr Abdullayev|M|26|169|63|Uzbekistan
33|Namiq Yadulla Abdullayev|M|29|167|55|Azerbaijan
34|Julius Shareef Abdur-Rahim|M|23|202|104|United States
35|Yusup Abdusalomov|M|30|170|84|Tajikistan
36|Andrey Khakimovich Abduvaliyev|M|26|190|125|Unified Team
37|Masashi Abe|M|28|175|64|Japan
38|Addis Abebe|M|21|160|50|Ethiopia
39|Clarence John Abel|M|23|185|102|United States
40|Irene Abel|F|19|160|48|East Germany
41|Jennifer Abel|F|20|160|62|Canada
42|Gezahgne Abera|M|22|166|58|Ethiopia
43|Nils Georg berg|M|19|181|78|Sweden
44|Michael Brent Abernathy|M|22|182|84|United States
45|Elvan Abeylegesse|F|25|159|40|Turkey
46|Ismail Abilov (-Nizamolu)|M|29|172|82|Bulgaria
47|Edgar Allen "Ed" Ablowich|M|19|182|68|United States
48|Denis Mikhaylovich Ablyazin|M|24|161|62|Russia
49|Viktor Andreyevich Aboimov|M|22|190|78|Soviet Union
50|Matthew "Matt" Abood|M|30|197|92|Australia
51|Alaaeldin Ahmad El-Sayyid Abouelkassem|M|21|188|87|Egypt
52|Attila brahm|M|25|192|88|Hungary
53|Gary Abraham|M|21|175|64|Great Britain
54|Ara Abrahamian|M|29|191|84|Sweden
55|Harold Maurice Abrahams|M|24|183|75|Great Britain
56|Erik Adolf Efraim Abrahamsson|M|22|172|61|Sweden
57|Pavel Sergeyevich Abramov|M|25|198|89|Russia
58|Nelli Mikhaylovna Abramova|F|24|171|60|Soviet Union
59|Yekaterina Konstantinovna Abramova|F|23|167|65|Russia
60|Alejandro "lex" Abrines Redondo|M|23|198|93|Spain
