id|participant_id|event_id
1|1|528
2|2|330
3|2|515
4|2|380
5|2|232
6|3|206
7|3|541
8|3|540
9|3|542
10|4|143
11|5|394
12|6|243
13|7|139
14|8|422
15|9|228
16|10|413
17|11|516
18|12|550
19|13|546
20|14|456
21|15|251
22|16|265
23|17|333
24|18|516
25|19|521
26|20|533
27|20|558
28|21|518
29|22|518
30|23|555
31|24|230
32|25|322
33|26|524
34|27|415
35|28|470
36|29|555
37|30|555
38|31|456
39|32|332
40|33|367
41|33|408
42|34|535
43|35|337
44|36|519
45|37|158
46|38|432
47|39|528
48|40|530
49|41|477
50|42|433
51|43|258
52|43|272
53|44|375
54|45|192
55|46|458
56|47|536
57|48|418
58|48|515
59|48|380
60|48|378
61|49|553
62|49|534
63|50|553
64|51|465
65|52|241
66|52|413
67|53|391
68|54|351
69|55|557
70|55|257
71|56|258
72|57|554
73|58|499
74|59|503
75|60|535
76|61|431
77|62|442
78|63|58
79|64|96
80|65|530
81|66|439
82|67|456
83|68|530
84|69|516
85|70|542
86|71|487
87|72|452
88|73|550
89|74|506
90|75|195
91|76|411
92|77|79
93|78|525
94|78|153
95|79|555
96|80|158
97|80|23
98|81|526
99|81|527
100|82|526
101|83|550
102|84|543
103|85|537
104|86|453
105|87|181
106|88|550
107|89|122
108|89|123
109|90|451
110|90|400
111|91|140
112|92|122
113|92|123
114|93|499
115|94|227
116|95|560
117|96|559
118|97|195
119|98|550
120|99|550
121|100|550
122|101|550
123|102|557
124|103|499
125|104|162
126|105|526
127|106|370
128|107|398
129|108|506
130|109|205
131|109|209
132|110|535
133|111|553
134|111|287
135|111|391
136|111|142
137|112|431
138|113|431
139|114|413
140|115|559
141|116|530
142|117|528
143|118|562
144|119|505
145|120|199
146|121|555
147|122|199
148|123|531
149|123|530
150|124|349
151|124|533
152|125|43
153|126|509
154|127|546
155|128|552
156|129|218
157|129|553
158|129|534
159|130|434
160|131|476
161|132|406
162|133|550
163|134|499
164|135|332
165|136|522
166|137|544
167|138|557
168|139|277
169|140|499
170|141|528
171|142|272
172|143|487
173|144|528
174|145|434
175|146|528
176|147|311
177|148|463
178|149|272
179|150|446
180|151|517
181|151|207
182|151|470
183|152|555
184|153|555
185|154|555
186|155|555
187|156|555
188|157|555
189|158|555
190|159|539
191|160|398
192|161|525
193|162|559
194|163|228
